brand,model,category,lifespan_km
"bontrager","Bontrager Barbegazi 27.5"" 4.5""","tyre",2000
"bontrager","Bontrager Betasso RSL GX TLR 700x42","tyre",3000
"bontrager","Bontrager Betasso RSL GX TLR 700x45","tyre",3000
"bontrager","Bontrager Betasso RSL GX TLR 700x50","tyre",3000
"bontrager","Bontrager Brevard Pro XR TLR 29"" 2.5""","tyre",2000
"bontrager","Bontrager Brevard RSL SE TLR 27.5"" 2.5""","tyre",2000
"bontrager","Bontrager Brevard RSL SE TLR 29"" 2.5""","tyre",2000
"bontrager","Bontrager CX3 TLR 700x33","tyre",3000
"bontrager","Bontrager Commuter Black","pedals",800
"bontrager","Bontrager Comp MTB Black","pedals",800
"bontrager","Bontrager Comp Road Black","pedals",800
"bontrager","Bontrager Connection 26"" 2.0""","tyre",2000
"bontrager","Bontrager Connection 27.5"" 2.0""","tyre",2000
"bontrager","Bontrager Connection 27.5"" front","wheel",800
"bontrager","Bontrager Connection 27.5"" rear","wheel",800
"bontrager","Bontrager Connection 29"" 2.0""","tyre",2000
"bontrager","Bontrager Connection 29"" front","wheel",800
"bontrager","Bontrager Connection 29"" rear","wheel",800
"bontrager","Bontrager Connection 700 front","wheel",800
"bontrager","Bontrager Connection 700 rear","wheel",800
"bontrager","Bontrager Connection Alfine 700 front","wheel",800
"bontrager","Bontrager Connection Alfine 700 rear","wheel",800
"bontrager","Bontrager Connection Comp 20"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Comp 24"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Comp 26"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Comp 27.5"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Comp 29"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Comp Hard-Case 26"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Comp Hard-Case 29"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Dynamo 700 front","wheel",800
"bontrager","Bontrager Connection Dynamo 700 rear","wheel",800
"bontrager","Bontrager Connection Hard-Case 29"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Ride+ 32H 27.5"" front","wheel",800
"bontrager","Bontrager Connection Ride+ 32H 27.5"" rear","wheel",800
"bontrager","Bontrager Connection Schrader 29"" front","wheel",800
"bontrager","Bontrager Connection Schrader 29"" rear","wheel",800
"bontrager","Bontrager Connection Trail Kids' 20"" 2.0""","tyre",2000
"bontrager","Bontrager Connection Trail Kids' 24"" 2.0""","tyre",2000
"bontrager","Bontrager Dialed Kids' 12x1.75","tyre",3000
"bontrager","Bontrager Dialed Kids' 16x1.75","tyre",3000
"bontrager","Bontrager Dialed Kids' 20"" 1.8""","tyre",3000
"bontrager","Bontrager Duster Elite 29"" front","wheel",800
"bontrager","Bontrager Duster Elite 29"" rear","wheel",800
"bontrager","Bontrager Duster Elite TLR 27.5"" front","wheel",800
"bontrager","Bontrager Duster Elite TLR 27.5"" rear","wheel",800
"bontrager","Bontrager Duster Elite TLR 29"" front","wheel",800
"bontrager","Bontrager Duster Elite TLR 29"" rear","wheel",800
"bontrager","Bontrager Duster Elite TLR 32H 29"" front","wheel",800
"bontrager","Bontrager Duster Elite TLR 32H 29"" rear","wheel",800
"bontrager","Bontrager E6 Hard-Case Lite 26"" 2.0""","tyre",3000
"bontrager","Bontrager E6 Hard-Case Lite 27.5"" 2.4""","tyre",3000
"bontrager","Bontrager E6 Hard-Case Lite 700x50","tyre",3000
"bontrager","Bontrager Elite Road Black","pedals",800
"bontrager","Bontrager G Mud Team Issue 29"" 2.3""","tyre",2000
"bontrager","Bontrager G-Spike Team Issue 27.5"" 2.4""","tyre",2000
"bontrager","Bontrager G-Spike Team Issue 29"" 2.4""","tyre",2000
"bontrager","Bontrager G5 Team Issue 27.5"" 2.5""","tyre",2000
"bontrager","Bontrager G5 Team Issue 29"" 2.5""","tyre",2000
"bontrager","Bontrager GR1 Team Issue 700x35","tyre",3000
"bontrager","Bontrager GR1 Team Issue 700x40","tyre",3000
"bontrager","Bontrager GR2 Team Issue 700x40","tyre",3000
"bontrager","Bontrager Galbraith RSL SE TLR 29"" 2.5""","tyre",2000
"bontrager","Bontrager Girona Pro TLR 700x35","tyre",3000
"bontrager","Bontrager Girona Pro TLR 700x38","tyre",3000
"bontrager","Bontrager Girona Pro TLR 700x42","tyre",3000
"bontrager","Bontrager Girona RSL GR TLR 700x35","tyre",3000
"bontrager","Bontrager Girona RSL GR TLR 700x38","tyre",3000
"bontrager","Bontrager Girona RSL GR TLR 700x42","tyre",3000
"bontrager","Bontrager Gnarwhal 27.5"" 4.5""","tyre",2000
"bontrager","Bontrager Gunnison Pro XR TLR 27.5"" 2.6""","tyre",2000
