name,brand,model,category,life_target_km,pbg_id
"29"" 1.3""","generic","29"" 1.3""","tyre",2000,"568b92b9-37d5-4e57-be3e-884a38b8b0e5"
"29"" 1.35""","generic","29"" 1.35""","tyre",2000,"653f4eea-e237-4646-a571-bbd977164f51"
"29"" 1.4""","generic","29"" 1.4""","tyre",2000,"b9cf7f10-6913-4eb6-afe5-f0c63210208f"
"29"" 1.5""","generic","29"" 1.5""","tyre",2000,"9691807d-0596-4e8d-90f1-f5c23ccd534d"
"29"" 1.75""","generic","29"" 1.75""","tyre",2000,"2b3f4f11-aa5e-4727-b1ad-081865ef432a"
"29"" 1.8""","generic","29"" 1.8""","tyre",2000,"9299c05a-d593-466b-b404-6408c3c029cd"
"29"" 1.85""","generic","29"" 1.85""","tyre",2000,"3f5d4a57-1259-4f45-b5f5-80f74f1af386"
"29"" 1.9""","generic","29"" 1.9""","tyre",2000,"43056758-780a-4010-b015-1b00d11607d8"
"29"" 1.95""","generic","29"" 1.95""","tyre",2000,"8ff6b7ef-e324-4652-9753-c0a2708f17cc"
"29"" 2.0""","generic","29"" 2.0""","tyre",2000,"7e14ec47-f9bc-4fb1-8bf5-53c7cbec8c2a"
